Category,2023,2024,2025,,
FOUR WHEELER (INVALID CARRIAGE),47,72,77,,
HEAVY GOODS VEHICLE,326,224,404,,
HEAVY MOTOR VEHICLE,3,0,0,,
HEAVY PASSENGER VEHICLE,2398,3835,3564,,
LIGHT GOODS VEHICLE,2283,6012,8497,,
LIGHT MOTOR VEHICLE,73305,147803,232702,,
LIGHT PASSENGER VEHICLE,9308,10533,8052,,
MEDIUM MOTOR VEHICLE,6,20,1,,
MEDIUM PASSENGER VEHICLE,289,44,70,,
OTHER THAN MENTIONED ABOVE,280,9,187,,
THREE WHEELER (INVALID CARRIAGE),0,1,0,,
THREE WHEELER(NT),253,290,664,,
THREE WHEELER(T),583473,691009,641956,,
TWO WHEELER (INVALID CARRIAGE),60,19,44,,
TWO WHEELER(NT),858340,1144201,1086308,,
TWO WHEELER(T),2093,5201,5514,,
