vader_compound,vader_momentum,vader_roll_avg,sentiment_stddev,news_volume,brand_encoded,trend_delta,bert_roll_avg,sentiment_label_lag1,bert_score_lag1,vader_lag1,transition,vader_trend_interaction,volume_volatility_interaction,transition_count_last_3_days
0.9386,0.3667,0.8353,0.25729604155524816,5.0,4,2.0,-0.38065914312998456,-1.0,-0.38065914312998456,0.5719,-1.0,1.8772,1.2864802077762407,2.0
0.9954,0.05679999999999996,0.8353,0.25729604155524816,5.0,1,-3.0,-0.38065914312998456,1.0,-0.38065914312998456,0.9386,-1.0,-2.9861999999999997,1.2864802077762407,3.0
0.4588,-0.5393,0.8174333333333333,0.25729604155524816,5.0,2,-34.0,-0.16105147202809653,1.0,-0.16105147202809653,0.9981,-1.0,-15.5992,1.2864802077762407,3.0
0.9601,0.5013,0.8056666666666666,0.4242473959849371,5.0,4,15.0,-0.16105147202809653,1.0,-0.16105147202809653,0.4588,1.0,14.401499999999999,2.1212369799246855,3.0
0.9726,0.012500000000000067,0.7971666666666666,0.4242473959849371,5.0,3,2.0,-0.16105147202809653,-1.0,-0.16105147202809653,0.9601,-1.0,1.9452,2.1212369799246855,2.0
0.0,-0.9726,0.6442333333333333,0.4242473959849371,5.0,2,-19.0,-0.20295270284016928,-1.0,-0.16105147202809653,0.9726,1.0,-0.0,2.1212369799246855,2.0
0.7906,-0.20890000000000009,0.5967,0.4242473959849371,5.0,0,-17.0,-0.3243732651074727,1.0,-0.3243732651074727,0.9995,-1.0,-13.440199999999999,2.1212369799246855,3.0
0.994,0.20340000000000003,0.9280333333333334,0.19695160573095105,5.0,1,19.0,-0.3243732651074727,1.0,-0.3243732651074727,0.7906,1.0,18.886,0.9847580286547553,3.0
0.7351,-0.2589,0.8399,0.19695160573095105,5.0,4,0.0,-0.3243732651074727,-1.0,-0.3243732651074727,0.994,1.0,0.0,0.9847580286547553,2.0
0.5204,-0.2147,0.7498333333333332,0.19695160573095105,5.0,2,-37.0,-0.8476949334144592,-1.0,-0.3243732651074727,0.7351,1.0,-19.2548,0.9847580286547553,1.0
0.9861,0.4657,0.7472,0.19695160573095105,5.0,3,19.0,-0.7740592360496521,-1.0,-0.8476949334144592,0.5204,1.0,18.7359,0.9847580286547553,0.0
0.7769,-0.20919999999999994,0.7611333333333333,0.19695160573095105,5.0,0,7.0,-0.7328795393308004,-1.0,-0.7740592360496521,0.9861,-1.0,5.4383,0.9847580286547553,0.0
0.4559,-0.321,0.7396333333333334,0.23621722418147242,5.0,2,-24.0,-0.23540371656417847,-1.0,-0.7328795393308004,0.7769,1.0,-10.941600000000001,1.1810861209073622,1.0
0.68,-0.31919999999999993,0.7117,0.23621722418147242,5.0,3,-25.0,-0.48121599356333417,1.0,-0.48121599356333417,0.9992,-1.0,-17.0,1.1810861209073622,3.0
0.9638,0.28379999999999994,0.8810000000000001,0.23621722418147242,5.0,1,17.0,-0.48121599356333417,1.0,-0.48121599356333417,0.68,1.0,16.3846,1.1810861209073622,3.0
