STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,0,1,0,382,479,10,121,1941,0,41,254,0,0,110,58,2,199,240,1,0,99,3,6,739,7,0,0,359,3441,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,0,0,0,396,169,22,86,1504,3,16,277,35,0,111,97,6,208,215,1,0,79,0,11,346,13,0,0,268,2855,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,0,37,0,407,443,22,156,1437,3,21,289,12,1,127,69,7,158,191,2,0,103,0,22,199,23,0,8,329,3029,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,0,50,0,351,413,23,124,1493,3,26,240,12,1,106,155,12,177,208,2,0,95,0,20,61,15,0,9,307,2979,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,0,46,0,466,573,20,120,1410,1,28,338,0,10,136,219,18,140,218,2,0,95,0,11,54,43,0,0,366,3693,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,0,82,0,651,631,6,149,1297,0,28,274,0,11,148,235,27,185,243,4,0,95,17,8,166,70,0,0,314,3703,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,0,144,0,755,714,9,251,1618,3,41,287,0,5,158,176,23,240,277,1,0,89,8,29,245,76,0,0,565,5201,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,0,109,1,731,802,9,165,1889,3,32,479,0,6,161,228,18,225,379,3,0,97,7,31,445,110,1,1,509,4838,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,0,184,0,898,995,28,109,2216,4,42,456,0,17,200,334,45,228,464,7,2,121,10,26,374,195,8,0,496,5749,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,0,181,0,942,1090,30,115,2377,2,107,422,0,9,253,200,31,293,666,1,0,168,21,47,644,271,12,0,546,5654,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,0,175,0,820,1071,15,264,1929,2,59,641,3,19,177,318,44,282,732,5,0,193,8,97,649,311,7,0,333,5412,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,20,171,0,603,1088,19,243,1840,1,60,669,0,11,270,162,58,407,798,10,0,124,13,57,755,205,4,1,677,6677,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAN,0,134,0,415,765,13,252,1918,3,61,486,1,0,192,371,78,322,702,4,0,124,13,54,757,177,2,3,530,5084,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEB,0,296,0,546,1004,10,330,1525,2,87,416,0,2,117,359,37,356,680,20,0,106,10,168,638,253,25,1,479,3954,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,0,368,0,719,849,16,446,1907,3,164,637,0,18,68,1084,30,387,913,9,2,179,13,199,870,484,3,0,435,4308,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
