Vehicle Class Month Wise Data  of Karnataka (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,     TOTAL     
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,1,5,1,3,4,0,8,0,0,22
2,BUS,119,72,113,8,1,0,0,4,0,317
3,E-RICKSHAW(P),0,0,0,0,0,1,1,1,0,3
4,E-RICKSHAW WITH CART (G),0,3,2,0,15,7,1,2,0,30
5,GOODS CARRIER,16,9,20,13,45,29,70,67,3,272
6,MAXI CAB,31,29,46,21,23,24,16,15,0,205
7,M-CYCLE/SCOOTER,"8,728","6,326","13,429","8,833","9,320","9,766","9,317","10,511",237,"76,467"
8,M-CYCLE/SCOOTER-WITH SIDE CAR,1,2,1,0,2,0,2,1,0,9
9,MOPED,291,310,599,326,444,469,371,341,8,"3,159"
10,MOTOR CAB,276,149,128,95,66,93,66,138,0,"1,011"
11,MOTOR CAR,"1,782","1,515","1,914","1,981","1,873","1,933","2,061","2,694",63,"15,816"
12,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,1,0,0,0,3,0,0,4
13,MOTOR CYCLE/SCOOTER-USED FOR HIRE,442,148,482,10,551,711,72,435,83,"2,934"
14,MOTORISED CYCLE (CC > 25CC),84,59,31,0,26,71,55,79,2,407
15,OMNI BUS (PRIVATE USE),37,24,12,14,4,0,4,6,0,101
16,PRIVATE SERVICE VEHICLE,0,0,0,0,0,0,1,0,0,1
17,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,6,14,15,6,9,12,7,0,69
18,THREE WHEELER (GOODS),193,203,12,1,80,237,9,187,1,923
19,THREE WHEELER (PASSENGER),39,12,165,408,501,505,616,516,14,"2,776"
20,THREE WHEELER (PERSONAL),0,0,1,2,1,1,3,2,0,10
21,TRACTOR (COMMERCIAL),0,0,0,0,0,1,2,0,0,3
