Vehicle Class Month Wise Data  of Andhra Pradesh (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,     TOTAL     
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,0,0,0,1,1,0,0,0,0,2
2,AGRICULTURAL TRACTOR,0,0,1,0,0,0,0,0,0,1
3,BUS,0,0,0,0,0,9,5,6,5,25
4,E-RICKSHAW(P),0,1,0,2,1,0,0,0,0,4
5,E-RICKSHAW WITH CART (G),1,1,2,1,1,4,1,6,2,19
6,GOODS CARRIER,1,2,8,8,4,8,8,5,2,46
7,MAXI CAB,2,1,3,1,1,1,3,0,1,13
8,M-CYCLE/SCOOTER,"1,615","2,718","3,437","3,434","3,127","3,096","3,101","3,077",796,"24,401"
9,M-CYCLE/SCOOTER-WITH SIDE CAR,0,1,0,0,0,0,0,1,0,2
10,MOTOR CAB,4,3,1,2,1,1,0,0,0,12
11,MOTOR CAR,310,343,355,490,521,524,484,518,168,"3,713"
12,MOTORISED CYCLE (CC > 25CC),45,103,103,75,59,66,66,57,11,585
13,OMNI BUS (PRIVATE USE),2,4,5,9,7,7,2,6,1,43
14,THREE WHEELER (GOODS),0,0,4,9,10,10,35,43,5,116
15,THREE WHEELER (PASSENGER),3,14,77,193,167,234,233,217,60,"1,198"
16,THREE WHEELER (PERSONAL),0,1,0,0,0,0,0,0,0,1
17,TRACTOR (COMMERCIAL),0,0,0,0,0,1,0,1,0,2
