Vehicle Class Month Wise Data  of Himachal Pradesh (2025),,,,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL,,
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,,,
1,E-RICKSHAW WITH CART (G),0,0,2,0,1,3,3,0,1,10,,
2,GOODS CARRIER,0,0,0,0,0,3,1,0,2,9,,
3,MAXI CAB,0,0,0,0,0,1,1,0,1,3,,
4,M-CYCLE/SCOOTER,53,55,79,50,79,95,71,73,44,690,,
5,MOPED,0,0,0,0,1,1,2,0,0,4,,
6,MOTOR CAB,7,6,7,1,0,1,3,5,5,39,,
7,MOTOR CAR,82,77,61,74,95,102,82,91,64,874,,
8,MOTORISED CYCLE (CC > 25CC),0,0,1,0,0,1,0,1,0,3,,
9,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,0,0,0,1,0,1,0,1,4,,
10,THREE WHEELER (PASSENGER),1,4,0,0,2,2,1,3,2,19,,
,,,,,,,,,,,,,
