Vehicle Class Month Wise Data  of Goa (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,0,1,0,1,1,1,2,0,0,6
2,E-RICKSHAW(P),9,10,7,3,8,5,13,5,2,62
3,E-RICKSHAW WITH CART (G),13,14,14,15,18,18,10,15,4,121
4,GOODS CARRIER,0,1,0,0,0,0,0,1,2,4
5,MAXI CAB,0,0,0,0,0,0,1,0,0,1
6,M-CYCLE/SCOOTER,55,81,139,118,98,96,196,100,34,917
7,MOTOR CAB,3,1,1,1,0,1,3,0,0,10
8,MOTOR CAR,201,119,300,197,172,288,238,267,171,"1,953"
9,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,0,0,0,0,0,0,1,0,1
10,THREE WHEELER (GOODS),2,0,0,1,0,2,1,0,0,6
11,THREE WHEELER (PASSENGER),2,0,1,3,7,9,9,12,7,50
