Vehicle Class Month Wise Data  of Jharkhand (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,E-RICKSHAW(P),163,159,178,203,304,310,403,444,494,2658
2,E-RICKSHAW WITH CART (G),7,4,10,3,13,10,3,10,3,63
3,GOODS CARRIER,0,0,1,0,2,1,2,1,1,8
4,M-CYCLE/SCOOTER,644,519,838,589,818,952,839,941,861,7001
5,M-CYCLE/SCOOTER-WITH SIDE CAR,0,0,0,0,0,1,0,0,0,1
6,MOPED,2,4,0,0,1,4,0,2,0,13
7,MOTOR CAB,7,3,0,4,4,4,2,2,0,26
8,MOTOR CAR,70,58,75,100,108,85,101,103,77,777
9,MOTORISED CYCLE (CC > 25CC),29,47,54,36,57,50,66,52,31,422
10,OMNI BUS (PRIVATE USE),5,1,6,1,0,2,2,3,0,20
11,THREE WHEELER (GOODS),0,0,1,10,2,1,11,8,7,40
12,THREE WHEELER (PASSENGER),21,20,84,107,107,178,210,186,278,1191
