Vehicle Class Month Wise Data  of Lakshadweep (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,AGRICULTURAL TRACTOR,0,0,2,0,0,0,0,0,0,2
2,AMBULANCE,0,0,1,1,0,0,0,3,1,6
3,CRANE MOUNTED VEHICLE,0,1,0,0,0,1,0,0,0,2
4,EARTH MOVING EQUIPMENT,0,1,0,0,0,0,0,0,0,1
5,EXCAVATOR (NT),0,0,0,0,0,1,0,0,0,1
6,FIRE FIGHTING VEHICLE,0,0,0,2,0,0,0,1,0,3
7,GOODS CARRIER,0,1,1,3,1,0,1,0,0,7
8,M-CYCLE/SCOOTER,43,121,106,106,97,85,47,31,47,683
9,MOTOR CAB,0,2,6,5,1,3,2,0,0,19
10,MOTOR CAR,1,2,5,1,0,4,3,2,0,18
11,OMNI BUS,0,0,0,0,0,0,1,0,0,1
12,THREE WHEELER (GOODS),1,1,4,2,2,0,2,0,0,12
13,THREE WHEELER (PASSENGER),1,2,5,3,2,1,0,0,2,16
14,TRACTOR (COMMERCIAL),0,1,0,1,0,0,0,1,0,3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
