Vehicle Class Month Wise Data  of West Bengal (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,BUS,0,0,0,0,0,0,3,0,0,3
2,E-RICKSHAW(P),406,403,469,407,445,378,633,559,715,4415
3,E-RICKSHAW WITH CART (G),9,12,4,7,2,12,21,35,23,125
4,GOODS CARRIER,4,1,7,6,7,2,8,9,9,53
5,LUXURY CAB,31,76,64,22,10,20,33,21,26,303
6,MAXI CAB,0,4,1,1,3,0,3,1,1,14
7,M-CYCLE/SCOOTER,"1,469","1,131","2,748","2,080","2,213","2,404","2,148","1,834","1,853",17880
8,M-CYCLE/SCOOTER-WITH SIDE CAR,0,0,1,1,0,0,1,0,0,3
9,MOPED,0,0,0,0,0,1,0,0,0,1
10,MOTOR CAB,73,67,30,28,24,35,39,63,61,420
11,MOTOR CAR,355,292,348,545,392,428,500,512,510,3882
12,MOTOR CYCLE/SCOOTER-USED FOR HIRE,2,0,0,1,0,0,0,0,0,3
13,MOTORISED CYCLE (CC > 25CC),0,0,0,0,0,0,0,2,0,2
14,OMNI BUS,0,0,0,0,0,0,2,0,0,2
15,OMNI BUS (PRIVATE USE),16,14,18,16,15,15,15,8,4,121
16,THREE WHEELER (GOODS),2,1,16,7,3,3,18,21,17,88
17,THREE WHEELER (PASSENGER),31,74,99,146,150,192,264,215,234,1405
