Vehicle Class Month Wise Data  of Haryana (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,     TOTAL     
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,0,0,0,0,0,0,0,1,0,1
2,BUS,0,1,0,0,0,0,5,0,0,6
3,E-RICKSHAW(P),249,172,212,217,283,283,332,362,93,"2,203"
4,E-RICKSHAW WITH CART (G),56,61,51,69,118,95,98,108,25,681
5,GOODS CARRIER,10,10,9,12,43,23,21,60,22,210
6,MAXI CAB,12,1,6,5,12,6,11,4,1,58
7,M-CYCLE/SCOOTER,"1,011",635,785,"1,505","1,183","1,245","1,370","1,058",158,"8,950"
8,M-CYCLE/SCOOTER-WITH SIDE CAR,1,0,0,0,0,1,0,0,0,2
9,MOBILE CLINIC,0,0,0,0,0,0,0,1,0,1
10,MOTOR CAB,182,111,132,98,99,106,67,59,18,872
11,MOTOR CAR,"1,066",846,994,"1,291","1,161","1,175","1,058",840,191,"8,622"
12,OMNI BUS,0,0,0,0,0,0,0,2,0,2
13,OMNI BUS (PRIVATE USE),1,0,0,0,0,0,0,0,0,1
14,THREE WHEELER (GOODS),3,3,1,1,20,23,31,24,6,112
15,THREE WHEELER (PASSENGER),75,42,37,66,73,102,118,160,31,704
