,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
0,0,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
1,1,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
2,2,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
3,5,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
4,9,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
5,12,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
6,15,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
7,20,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
8,21,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
9,25,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
10,26,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
11,27,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
12,33,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
13,31,0,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.693147181
14,39,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
15,40,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
16,46,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
17,50,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
18,54,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
19,59,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
20,63,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
21,65,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
22,66,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
23,67,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
24,71,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
25,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
26,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
27,10,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
28,14,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
29,15,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
30,16,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
31,21,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
32,22,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
33,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
34,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
35,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
36,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
37,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
38,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
39,59,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
40,60,1,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
41,63,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
42,66,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
43,1,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
44,2,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
45,5,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
46,9,3,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
47,10,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
48,15,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
49,16,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
50,21,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
51,22,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
52,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
53,33,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
54,31,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
55,38,0,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
