Vehicle Class Month Wise Data  of Karnataka (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,1,5,1,3,4,0,8,0,3,25
2,BUS,119,72,113,8,1,0,0,4,6,323
3,EDUCATIONAL INSTITUTION BUS,0,0,0,0,0,0,0,0,0,0
4,E-RICKSHAW(P),0,0,0,0,0,1,1,0,1,3
5,E-RICKSHAW WITH CART (G),0,3,2,0,15,7,1,2,11,41
6,GOODS CARRIER,16,9,20,13,43,29,70,68,52,320
7,MAXI CAB,31,29,46,21,23,24,16,17,6,213
8,M-CYCLE/SCOOTER,"8,728","6,326","13,433","8,837","9,326","9,780","9,327","10,616","10,240",86613
9,M-CYCLE/SCOOTER-WITH SIDE CAR,1,2,1,0,2,0,2,1,0,9
10,MOPED,291,310,599,326,444,469,372,343,401,3555
11,MOTOR CAB,276,149,128,95,66,93,66,137,86,1096
12,MOTOR CAR,"1,785","1,518","1,916","1,990","1,884","1,952","2,089","2,980","2,622",18736
13,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,1,0,0,0,3,0,2,6
14,MOTOR CYCLE/SCOOTER-USED FOR HIRE,442,148,482,10,551,711,72,435,896,3747
15,MOTORISED CYCLE (CC > 25CC),84,59,31,0,26,71,55,82,95,503
16,OMNI BUS (PRIVATE USE),37,24,12,14,4,0,4,6,2,103
17,PRIVATE SERVICE VEHICLE,0,0,0,0,0,0,1,0,0,1
18,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,6,14,15,6,9,12,7,10,79
19,THREE WHEELER (GOODS),193,203,12,1,80,237,9,187,35,957
20,THREE WHEELER (PASSENGER),39,12,165,408,501,505,616,514,578,3338
21,THREE WHEELER (PERSONAL),0,0,1,2,1,1,3,2,0,10
22,TRACTOR (COMMERCIAL),0,0,0,0,0,1,2,0,0,3
