Vehicle Class Month Wise Data  of Maharastra (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,TOTAL
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,ADAPTED VEHICLE,2,1,1,1,0,1,3,1,1,11
2,AGRICULTURAL TRACTOR,0,0,0,0,1,0,0,0,0,1
3,ARTICULATED VEHICLE,0,0,0,0,0,0,0,15,0,15
4,BUS,23,16,29,3,2,108,17,14,41,253
5,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),0,7,0,0,0,0,0,0,0,7
6,E-RICKSHAW(P),52,46,59,48,63,86,79,107,93,633
7,E-RICKSHAW WITH CART (G),19,20,44,37,57,134,68,123,94,596
8,FORK LIFT,0,0,0,0,0,0,0,0,0,0
9,GOODS CARRIER,46,13,45,34,45,33,58,171,254,699
10,M-CYCLE/SCOOTER,"14,878","10,984","26,360","14,575","14,524","14,534","13,253","14,665","14,413",138186
11,MOPED,539,364,663,405,564,535,557,417,594,4638
12,MOTOR CAB,125,123,72,118,156,97,136,155,160,1142
13,MOTOR CAR,"2,705","1,793","3,544","2,906","2,563","3,065","4,200","5,323","2,811",28910
14,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,0,0,0,0,0,0,100,100
15,MOTORISED CYCLE (CC > 25CC),1,0,0,0,1,1,0,0,0,3
16,OMNI BUS (PRIVATE USE),0,0,0,0,0,0,1,0,3,4
17,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),0,0,0,0,0,0,0,0,4,4
18,SEMI-TRAILER (COMMERCIAL),0,0,0,0,0,0,0,0,3,3
19,THREE WHEELER (GOODS),6,11,14,22,15,38,64,38,35,243
20,THREE WHEELER (PASSENGER),43,31,248,233,310,437,549,391,485,2727
21,TRACTOR (COMMERCIAL),0,0,0,0,0,1,0,0,26,27
