Vehicle Class Month Wise Data  of Bihar (2025),,,,,,,,,,,
S No,                      Vehicle Class                       ,Month Wise ,,,,,,,,,     TOTAL     
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,
1,E-RICKSHAW(P),"1,118",967,"1,194","1,151","1,478","1,799","2,241","2,271",695,"12,914"
2,E-RICKSHAW WITH CART (G),15,33,49,45,69,48,92,60,23,434
3,GOODS CARRIER,3,1,3,7,3,3,4,2,3,29
4,M-CYCLE/SCOOTER,"1,408",997,"1,381","1,070","1,387","1,591","2,099","2,378",535,"12,846"
5,M-CYCLE/SCOOTER-WITH SIDE CAR,2,3,89,25,3,3,1,2,0,128
6,MOPED,5,66,360,474,578,694,323,4,1,"2,505"
7,MOTOR CAB,0,0,0,1,1,0,0,2,0,4
8,MOTOR CAR,91,89,72,110,115,87,137,102,21,824
9,MOTORISED CYCLE (CC > 25CC),5,16,200,94,0,0,0,0,0,315
10,OMNI BUS (PRIVATE USE),0,0,0,0,0,1,0,0,0,1
11,THREE WHEELER (GOODS),0,1,1,0,9,16,28,35,9,99
12,THREE WHEELER (PASSENGER),30,28,333,612,683,779,"1,101",922,359,"4,847"
