Month,State_EV_Group,Vehicle_Category,Vehicle_Class,Log_EV_Sales_Quantity1,Type,Log_EV_Sales_Quantity,State_EV_Category_1,Vehicle_Category_1
9,0,4,0,0.20963201,Forecast,0.41926402,High-EV-Adoption-States,Others
9,2,4,0,0.18001795,Forecast,0.3600359,Moderate-EV-Adoption-States,Others
9,1,4,0,0.18062115,Forecast,0.3612423,Low-EV-Adoption-States,Others
9,0,4,1,0.080384634,Forecast,0.160769268,High-EV-Adoption-States,Others
9,2,4,1,0.10705673,Forecast,0.21411346,Moderate-EV-Adoption-States,Others
9,1,4,1,0.09313636,Forecast,0.18627272,Low-EV-Adoption-States,Others
9,0,4,2,0.12850638,Forecast,0.25701276,High-EV-Adoption-States,Others
9,2,4,2,0.15841568,Forecast,0.31683136,Moderate-EV-Adoption-States,Others
9,1,4,2,0.15864173,Forecast,0.31728346,Low-EV-Adoption-States,Others
9,0,4,3,0.5526777,Forecast,1.1053554,High-EV-Adoption-States,Others
9,2,4,3,0.39172035,Forecast,0.7834407,Moderate-EV-Adoption-States,Others
9,1,4,3,0.4027832,Forecast,0.8055664,Low-EV-Adoption-States,Others
9,0,3,4,-0.2437781,Forecast,-0.4875562,High-EV-Adoption-States,Bus
9,2,3,4,1.0354115,Forecast,2.070823,Moderate-EV-Adoption-States,Bus
9,1,3,4,0.16758303,Forecast,0.33516606,Low-EV-Adoption-States,Bus
9,0,4,5,0.5586517,Forecast,1.1173034,High-EV-Adoption-States,Others
9,2,4,5,0.5161103,Forecast,1.0322206,Moderate-EV-Adoption-States,Others
9,1,4,5,0.5340989,Forecast,1.0681978,Low-EV-Adoption-States,Others
9,0,4,6,1.3886712,Forecast,2.7773424,High-EV-Adoption-States,Others
9,2,4,6,0.72241306,Forecast,1.44482612,Moderate-EV-Adoption-States,Others
9,1,4,6,0.737961,Forecast,1.475922,Low-EV-Adoption-States,Others
9,0,3,9,0.6006218,Forecast,1.2012436,High-EV-Adoption-States,Bus
9,2,3,9,0.20962493,Forecast,0.41924986,Moderate-EV-Adoption-States,Bus
9,1,3,9,0.22023024,Forecast,0.44046048,Low-EV-Adoption-States,Bus
9,0,1,8,1.4441829,Forecast,2.8883658,High-EV-Adoption-States,3-Wheelers
9,2,1,8,0.2546047,Forecast,0.5092094,Moderate-EV-Adoption-States,3-Wheelers
9,1,1,8,-0.37676743,Forecast,-0.75353486,Low-EV-Adoption-States,3-Wheelers
9,0,1,7,1.3431234,Forecast,2.6862468,High-EV-Adoption-States,3-Wheelers
9,2,1,7,1.2102529,Forecast,2.4205058,Moderate-EV-Adoption-States,3-Wheelers
9,1,1,7,1.1251142,Forecast,2.2502284,Low-EV-Adoption-States,3-Wheelers
9,0,4,10,0.077875964,Forecast,0.155751928,High-EV-Adoption-States,Others
9,2,4,10,0.095954955,Forecast,0.19190991,Moderate-EV-Adoption-States,Others
9,1,4,10,0.091816284,Forecast,0.183632568,Low-EV-Adoption-States,Others
9,0,4,11,0.19980314,Forecast,0.39960628,High-EV-Adoption-States,Others
9,2,4,11,0.15044104,Forecast,0.30088208,Moderate-EV-Adoption-States,Others
9,1,4,11,0.1676257,Forecast,0.3352514,Low-EV-Adoption-States,Others
9,0,2,12,3.5385113,Forecast,7.0770226,High-EV-Adoption-States,4-Wheelers
9,2,2,12,0.881379,Forecast,1.762758,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,12,0.5973319,Forecast,1.1946638,Low-EV-Adoption-States,4-Wheelers
9,0,2,15,0.57784563,Forecast,1.15569126,High-EV-Adoption-States,4-Wheelers
9,2,2,15,1.28787,Forecast,2.57574,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,15,0.22643915,Forecast,0.4528783,Low-EV-Adoption-States,4-Wheelers
9,0,0,13,2.7478466,Forecast,5.4956932,High-EV-Adoption-States,2-Wheelers
9,2,0,13,2.580943,Forecast,5.161886,Moderate-EV-Adoption-States,2-Wheelers
9,1,0,13,0.9016242,Forecast,1.8032484,Low-EV-Adoption-States,2-Wheelers
9,0,0,14,0.097370684,Forecast,0.194741368,High-EV-Adoption-States,2-Wheelers
9,2,0,14,0.8403616,Forecast,1.6807232,Moderate-EV-Adoption-States,2-Wheelers
9,1,0,14,-0.816389,Forecast,-1.632778,Low-EV-Adoption-States,2-Wheelers
9,0,4,16,0.09056802,Forecast,0.18113604,High-EV-Adoption-States,Others
9,2,4,16,0.07870623,Forecast,0.15741246,Moderate-EV-Adoption-States,Others
9,1,4,16,0.100310236,Forecast,0.200620472,Low-EV-Adoption-States,Others
9,0,0,17,1.6988472,Forecast,3.3976944,High-EV-Adoption-States,2-Wheelers
9,2,0,17,1.5694486,Forecast,3.1388972,Moderate-EV-Adoption-States,2-Wheelers
9,1,0,17,1.5687467,Forecast,3.1374934,Low-EV-Adoption-States,2-Wheelers
9,0,2,18,3.1652372,Forecast,6.3304744,High-EV-Adoption-States,4-Wheelers
9,2,2,18,1.4958328,Forecast,2.9916656,Moderate-EV-Adoption-States,4-Wheelers
9,1,2,18,0.5809976,Forecast,1.1619952,Low-EV-Adoption-States,4-Wheelers
9,0,2,19,0.98148507,Forecast,1.96297014,High-EV-Adoption-States,4-Wheelers
9,2,2,19,0.47158036,Forecast,0.94316072,Moderate-EV-Adoption-States,4-Wheelers
